loan_id,current_balance,interest_rate,payment_status
LN01766,151267.42,11.86,CURRENT
LN01771,174680.31,7.00,DELINQUENT
LN01772,125093.95,8.68,DELINQUENT
LN01773,0.00,4.36,CLOSED
LN01775,277976.63,6.06,CURRENT
LN01778,156313.47,14.90,CURRENT
LN01780,53337.06,11.93,CURRENT
LN01781,178148.96,14.35,CURRENT
LN01783,170082.58,7.08,DELINQUENT
LN01784,0.00,5.99,CLOSED
LN01788,0.00,8.14,CLOSED
LN01789,0.00,10.21,CLOSED
LN01790,98877.61,7.95,CURRENT
LN01791,49203.40,7.03,DELINQUENT
LN01793,333577.78,5.20,CURRENT
LN01795,0.00,10.11,CLOSED
LN01797,0.00,13.62,CLOSED
LN01798,0.00,14.30,CLOSED
LN01799,0.00,5.26,CLOSED
LN01803,282164.18,13.74,CURRENT
LN01812,0.00,4.49,CLOSED
LN01813,164239.62,6.01,CURRENT
LN01814,356014.37,5.99,CURRENT
LN01815,231468.16,7.71,DELINQUENT
LN01816,202672.40,5.60,CURRENT
LN01821,236080.48,8.94,CURRENT
LN01822,449577.77,6.61,CURRENT
LN01827,203700.65,8.52,CURRENT
LN01832,0.00,5.48,CLOSED
LN01833,292646.58,6.55,CURRENT
LN01834,145232.07,8.89,DELINQUENT
LN01839,0.00,9.01,CLOSED
LN01841,147129.87,7.92,CURRENT
LN01843,0.00,4.10,CLOSED
LN01846,77287.52,7.52,DELINQUENT
LN01849,157947.18,9.82,CURRENT
LN01850,37099.28,7.07,CURRENT
LN01852,192491.74,14.69,DELINQUENT
LN01853,110038.48,6.81,DELINQUENT
LN01856,0.00,11.29,CLOSED
LN01861,274197.32,12.94,DELINQUENT
LN01862,304179.60,4.21,CURRENT
LN01867,177616.40,11.18,DELINQUENT
LN01869,179196.85,8.35,DELINQUENT
LN01875,0.00,12.03,CLOSED
LN01876,111590.56,5.80,DELINQUENT
LN01877,0.00,8.16,CLOSED
LN01878,0.00,7.96,CLOSED
LN01879,0.00,4.58,CLOSED
LN01880,98850.29,8.71,CURRENT
LN01885,186265.08,4.58,DELINQUENT
LN01886,0.00,14.14,CLOSED
LN01887,0.00,7.02,CLOSED
LN01888,0.00,10.73,CLOSED
LN01891,181155.68,11.71,CURRENT
LN01893,176107.57,8.33,DELINQUENT
LN01894,158948.83,4.32,DELINQUENT
LN01900,0.00,7.35,CLOSED
LN01906,0.00,8.82,CLOSED
LN01908,141663.50,11.42,CURRENT
LN01909,60658.95,8.74,DELINQUENT
LN01915,0.00,10.68,CLOSED
LN01917,277563.45,5.99,CURRENT
LN01920,132685.61,7.96,DELINQUENT
LN01927,0.00,5.66,CLOSED
LN01932,236681.64,5.97,CURRENT
LN01936,398978.52,5.49,CURRENT
LN01943,239290.63,5.02,DELINQUENT
LN01946,0.00,14.35,CLOSED
LN01948,0.00,7.81,CLOSED
LN01952,0.00,6.14,CLOSED
LN01953,56969.65,5.64,CURRENT
LN01956,54883.01,4.94,CURRENT
LN01960,227238.81,10.59,DELINQUENT
LN01961,353347.76,4.43,CURRENT
LN01965,33391.48,6.26,CURRENT
LN01968,0.00,7.47,CLOSED
LN01975,109293.04,8.44,CURRENT
LN01977,0.00,5.84,CLOSED
LN01978,186251.08,5.09,DELINQUENT
LN01981,0.00,7.45,CLOSED
LN01982,213703.00,6.91,CURRENT
LN01983,276091.05,6.18,CURRENT
LN01984,0.00,6.02,CLOSED
LN01985,184637.36,7.75,DELINQUENT
LN01986,0.00,5.52,CLOSED
LN01988,0.00,4.27,CLOSED
LN01990,134643.34,5.34,DELINQUENT
LN01992,172746.71,7.13,DELINQUENT
LN01993,156347.10,5.89,CURRENT
LN01995,200919.40,7.33,CURRENT
LN01996,67904.54,5.94,CURRENT
LN01999,162721.53,8.16,CURRENT
LN02000,209397.38,4.11,CURRENT
LN02001,0.00,9.39,CLOSED
LN02004,165214.15,13.24,CURRENT
LN02005,348577.41,11.07,DELINQUENT
LN02008,88035.19,9.20,CURRENT
LN02011,88444.46,11.97,DELINQUENT
LN02014,170586.44,5.95,CURRENT
LN02015,369886.99,8.90,CURRENT
LN02016,0.00,5.16,CLOSED
LN02017,419821.04,7.57,CURRENT
LN02022,0.00,4.46,CLOSED
LN02023,294336.78,8.03,DELINQUENT
LN02025,32864.34,9.30,CURRENT
LN02026,201935.67,9.13,DELINQUENT
LN02029,283163.39,9.18,CURRENT
LN02031,0.00,14.87,CLOSED
LN02035,0.00,13.20,CLOSED
LN02037,334091.64,6.05,DELINQUENT
LN02040,236063.57,8.20,CURRENT
LN02042,280120.13,4.46,CURRENT
LN02050,150802.20,6.22,DELINQUENT
LN02052,186741.68,6.43,DELINQUENT
LN02053,152150.64,6.36,CURRENT
LN02055,0.00,7.44,CLOSED
LN02057,0.00,13.86,CLOSED
LN02059,0.00,14.33,CLOSED
LN02060,108120.69,8.67,CURRENT
LN02063,184509.93,4.76,CURRENT
LN02067,195996.72,9.63,CURRENT
LN02069,0.00,6.33,CLOSED
LN02070,0.00,4.64,CLOSED
LN02071,161317.17,4.90,DELINQUENT
LN02072,108163.76,7.87,DELINQUENT
LN02081,191994.96,4.85,CURRENT
LN02082,241463.91,7.22,DELINQUENT
LN02085,0.00,9.87,CLOSED
LN02086,42788.56,5.59,CURRENT
LN02094,138833.62,11.61,CURRENT
LN02099,298244.39,6.17,CURRENT
LN02102,257539.11,4.45,CURRENT
LN02103,130584.22,9.88,CURRENT
LN02105,377442.94,4.59,CURRENT
LN02113,157737.77,5.22,DELINQUENT
LN02118,0.00,9.26,CLOSED
LN02125,120660.44,8.05,DELINQUENT
LN02128,0.00,5.39,CLOSED
LN02131,0.00,5.51,CLOSED
LN02134,97489.74,13.07,CURRENT
LN02135,140187.79,7.73,CURRENT
LN02141,359106.24,7.41,DELINQUENT
LN02143,219994.76,13.72,CURRENT
LN02144,0.00,4.39,CLOSED
LN02147,163791.03,4.07,DELINQUENT
LN02148,143666.33,5.54,CURRENT
LN02150,117905.00,5.41,DELINQUENT
LN02152,0.00,10.67,CLOSED
LN02154,0.00,13.56,CLOSED
LN02156,116838.21,14.04,CURRENT
LN02159,151627.42,6.64,CURRENT
LN02161,0.00,8.01,CLOSED
LN02163,0.00,6.11,CLOSED
LN02168,0.00,14.46,CLOSED
LN02169,0.00,5.38,CLOSED
LN02170,100372.72,13.55,DELINQUENT
LN02172,216002.99,13.88,CURRENT
LN02175,165953.62,7.48,DELINQUENT
LN02176,269960.49,10.45,CURRENT
LN02180,280856.52,14.11,DELINQUENT
LN02183,0.00,4.09,CLOSED
LN02184,30100.50,9.74,CURRENT
LN02186,33899.17,7.10,DELINQUENT
LN02194,387039.37,5.26,CURRENT
LN02199,0.00,14.21,CLOSED
LN02201,0.00,9.90,CLOSED
LN02208,0.00,5.33,CLOSED
LN02210,0.00,10.94,CLOSED
LN02213,278439.94,13.70,CURRENT
LN02214,0.00,8.87,CLOSED
LN02216,136520.85,4.03,CURRENT
LN02217,241376.75,7.18,CURRENT
LN02219,33849.60,6.40,DELINQUENT
LN02222,0.00,10.78,CLOSED
LN02223,129851.89,12.64,DELINQUENT
LN02224,0.00,8.15,CLOSED
LN02227,0.00,8.01,CLOSED
LN02229,0.00,8.93,CLOSED
LN02230,95889.74,10.18,CURRENT
LN02231,157365.50,4.42,DELINQUENT
LN02235,133350.73,10.74,CURRENT
LN02239,0.00,14.61,CLOSED
LN02241,164303.22,9.54,CURRENT
LN02242,74784.76,13.80,CURRENT
LN02246,0.00,11.78,CLOSED
LN02247,391398.70,13.33,DELINQUENT
LN02252,0.00,11.86,CLOSED
LN02255,237260.88,5.67,DELINQUENT
LN02257,92612.58,14.28,CURRENT
LN02258,0.00,14.49,CLOSED
LN02261,53170.05,9.01,DELINQUENT
LN02263,0.00,5.34,CLOSED
LN02264,0.00,4.33,CLOSED
LN02266,0.00,7.07,CLOSED
LN02270,205218.48,5.71,DELINQUENT
LN02272,0.00,7.76,CLOSED
LN02273,0.00,6.28,CLOSED
LN02274,74440.72,14.90,CURRENT
LN02276,77405.26,5.97,DELINQUENT
LN02280,319795.73,6.71,DELINQUENT
LN02281,31423.68,4.67,DELINQUENT
LN02283,102633.09,9.49,CURRENT
LN02288,334901.73,6.23,DELINQUENT
LN02295,0.00,11.41,CLOSED
LN02296,0.00,4.96,CLOSED
LN02297,45031.17,5.58,DELINQUENT
LN02298,0.00,11.31,CLOSED
LN02301,113387.25,12.20,DELINQUENT
LN02306,115896.13,8.46,DELINQUENT
LN02309,0.00,12.29,CLOSED
LN02312,150689.54,7.05,DELINQUENT
LN02315,355186.99,10.72,DELINQUENT
LN02316,288199.21,10.57,DELINQUENT
LN02317,0.00,13.02,CLOSED
LN02319,0.00,4.14,CLOSED
LN02320,0.00,14.11,CLOSED
LN02326,0.00,7.25,CLOSED
LN02328,0.00,14.98,CLOSED
LN02331,188933.51,13.55,CURRENT
LN02332,321779.39,10.49,CURRENT
LN02333,165669.16,10.36,DELINQUENT
LN02335,0.00,4.07,CLOSED
LN02337,0.00,13.43,CLOSED
LN02339,144860.18,5.07,DELINQUENT
LN02340,243122.66,8.86,DELINQUENT
LN02341,273842.13,13.13,CURRENT
LN02342,0.00,9.11,CLOSED
LN02343,144356.07,4.66,DELINQUENT
LN02344,0.00,12.26,CLOSED
LN02347,120071.02,4.82,DELINQUENT
LN02352,0.00,6.97,CLOSED
LN02360,198740.92,14.63,DELINQUENT
LN02363,246368.52,10.86,CURRENT
LN02364,169800.17,4.32,DELINQUENT
LN02366,153701.86,6.40,DELINQUENT
LN02368,0.00,4.06,CLOSED
LN02369,98511.53,6.09,CURRENT
LN02373,129989.77,9.66,CURRENT
LN02374,298915.17,14.91,DELINQUENT
LN02375,415297.75,13.07,DELINQUENT
LN02381,282353.54,12.04,DELINQUENT
LN02383,98895.01,12.30,DELINQUENT
LN02386,255883.38,10.31,DELINQUENT
LN02388,0.00,9.47,CLOSED
LN02391,96785.87,6.87,DELINQUENT
LN02398,204374.08,14.43,DELINQUENT
LN02399,204754.17,6.89,DELINQUENT
LN02400,279643.42,10.49,CURRENT
LN02402,231436.38,9.39,CURRENT
LN02405,0.00,13.51,CLOSED
LN02411,136025.72,4.57,DELINQUENT
LN02413,0.00,7.47,CLOSED
LN02415,0.00,9.62,CLOSED
LN02418,108249.93,7.57,DELINQUENT
LN02420,281099.78,6.99,DELINQUENT
LN02423,159351.77,5.62,CURRENT
LN02424,0.00,7.45,CLOSED
LN02428,202305.59,14.15,CURRENT
LN02429,101948.95,8.26,CURRENT
LN02437,0.00,12.35,CLOSED
LN02439,294421.61,5.54,DELINQUENT
LN02440,0.00,14.14,CLOSED
LN02441,225720.88,12.28,CURRENT
LN02442,37752.90,6.16,DELINQUENT
LN02443,84105.06,10.91,DELINQUENT
LN02444,0.00,4.44,CLOSED
LN02445,234903.99,10.62,CURRENT
LN02446,0.00,7.48,CLOSED
LN02447,269213.89,11.29,DELINQUENT
LN02448,38270.69,13.63,DELINQUENT
LN02451,72793.86,10.80,CURRENT
LN02452,112606.46,13.41,DELINQUENT
LN02454,262942.96,10.37,DELINQUENT
LN02455,0.00,5.26,CLOSED
LN02456,215729.63,8.61,DELINQUENT
LN02460,155862.22,8.57,DELINQUENT
LN02461,344911.12,4.70,CURRENT
LN02467,0.00,4.81,CLOSED
LN02469,157874.76,10.41,DELINQUENT
LN02472,238610.18,6.68,CURRENT
LN02473,119646.60,4.38,DELINQUENT
LN02474,0.00,4.12,CLOSED
LN02476,0.00,13.95,CLOSED
LN02477,132572.84,9.28,CURRENT
LN02478,173343.50,9.07,CURRENT
LN02484,244179.44,4.91,DELINQUENT
LN02485,133338.14,6.54,CURRENT
LN02486,155359.82,4.78,CURRENT
LN02489,68307.37,11.66,CURRENT
LN02491,167732.94,4.33,CURRENT
LN02497,121849.12,4.72,DELINQUENT
LN02500,0.00,13.85,CLOSED
LN02504,265596.06,5.15,DELINQUENT
LN02505,0.00,5.25,CLOSED
LN02508,61214.22,7.82,CURRENT
LN02509,36526.63,12.27,CURRENT
LN02510,377258.41,5.07,CURRENT
LN02518,184306.56,4.59,DELINQUENT
LN02519,55884.16,7.85,CURRENT
LN02522,256424.72,9.97,CURRENT
LN02525,0.00,10.72,CLOSED
LN02527,0.00,6.44,CLOSED
LN02533,0.00,12.36,CLOSED
LN02534,127403.75,10.64,CURRENT
LN02542,178300.64,12.13,DELINQUENT
LN02546,0.00,13.19,CLOSED
LN02549,0.00,10.96,CLOSED
LN02550,0.00,8.26,CLOSED
LN02555,78764.37,12.18,CURRENT
LN02558,0.00,6.98,CLOSED
LN02559,98861.42,11.24,DELINQUENT
LN02560,186415.83,12.88,CURRENT
LN02561,69968.09,7.11,DELINQUENT
LN02568,64523.36,13.20,DELINQUENT
LN02569,0.00,7.18,CLOSED
LN02574,59412.24,4.78,CURRENT
LN02575,0.00,7.42,CLOSED
LN02581,0.00,7.36,CLOSED
LN02582,27393.03,5.28,CURRENT
LN02583,0.00,9.41,CLOSED
LN02588,322404.73,4.01,DELINQUENT
LN02589,0.00,5.49,CLOSED
LN02590,135242.24,9.15,DELINQUENT
LN02592,351768.98,10.44,CURRENT
LN02593,456844.69,4.47,DELINQUENT
LN02594,282799.26,9.52,CURRENT
LN02597,0.00,8.29,CLOSED
LN02600,42840.83,12.68,CURRENT
LN02604,0.00,8.07,CLOSED
LN02607,94186.11,6.73,CURRENT
LN02609,0.00,9.35,CLOSED
LN02613,214737.29,9.75,DELINQUENT
LN02615,305707.87,4.42,CURRENT
LN02618,156819.20,6.05,DELINQUENT
LN02622,72637.15,6.95,CURRENT
LN02623,0.00,5.89,CLOSED
LN02624,0.00,6.55,CLOSED
LN02626,89560.27,12.40,CURRENT
LN02627,97382.54,5.56,DELINQUENT
LN02628,92228.53,12.25,DELINQUENT
LN02630,116892.12,12.74,CURRENT
LN02632,0.00,14.81,CLOSED
LN02637,0.00,5.05,CLOSED
LN02639,116977.68,4.69,DELINQUENT
LN02640,141377.91,4.51,CURRENT
LN02644,0.00,7.54,CLOSED
LN02648,59125.48,5.07,CURRENT
LN02651,181006.51,10.66,DELINQUENT
LN02654,0.00,9.33,CLOSED
LN02655,0.00,8.27,CLOSED
LN02656,82895.05,12.44,CURRENT
LN02660,65018.49,5.94,CURRENT
LN02666,394823.43,8.07,DELINQUENT
LN02667,0.00,7.71,CLOSED
LN02669,64157.23,6.20,DELINQUENT
LN02674,103377.36,10.01,DELINQUENT
LN02678,408620.20,11.09,DELINQUENT
LN02679,87427.74,14.44,CURRENT
LN02683,0.00,4.44,CLOSED
LN02684,92237.92,9.74,DELINQUENT
LN02687,0.00,14.84,CLOSED
LN02695,402260.84,8.01,CURRENT
LN02696,145185.47,8.07,DELINQUENT
LN02697,143334.19,6.26,DELINQUENT
LN02702,0.00,6.62,CLOSED
LN02704,0.00,13.09,CLOSED
LN02706,0.00,6.72,CLOSED
LN02707,0.00,5.02,CLOSED
LN02711,0.00,14.34,CLOSED
LN02713,238995.11,5.22,DELINQUENT
LN02716,174592.12,14.54,DELINQUENT
LN02718,0.00,13.22,CLOSED
LN02719,0.00,9.62,CLOSED
LN02721,223213.98,4.52,DELINQUENT
LN02722,0.00,7.20,CLOSED
LN02734,106109.39,5.76,DELINQUENT
LN02736,77777.00,7.33,CLOSED
LN02738,53630.73,5.91,CURRENT
LN02741,0.00,8.70,CLOSED
LN02743,210776.12,5.12,DELINQUENT
LN02744,44881.66,7.28,DELINQUENT
LN02745,204754.30,11.35,CURRENT
LN02748,0.00,9.64,CLOSED
LN02751,247114.41,8.56,DELINQUENT
LN02753,305510.76,9.03,DELINQUENT
LN02757,0.00,4.24,CLOSED
LN02758,0.00,8.47,CLOSED
LN02764,87047.34,7.45,DELINQUENT
LN02765,71471.93,10.51,CURRENT
LN02766,307478.37,13.42,DELINQUENT
LN02767,262587.05,4.84,DELINQUENT
LN02769,0.00,5.07,CLOSED
LN02771,0.00,13.83,CLOSED
LN02773,201970.94,7.61,DELINQUENT
LN02774,96973.28,7.12,CURRENT
LN02776,0.00,6.76,CLOSED
LN02778,0.00,8.37,CLOSED
LN02780,211547.43,6.93,DELINQUENT
LN02781,183868.55,6.58,DELINQUENT
LN02785,0.00,7.42,CLOSED
LN02787,212035.74,11.40,DELINQUENT
LN02790,66205.39,9.84,DELINQUENT
LN02791,0.00,9.13,CLOSED
LN02797,0.00,5.49,CLOSED
LN02803,67073.43,5.09,DELINQUENT
LN02805,330133.98,4.12,CURRENT
LN02806,75211.50,6.12,CURRENT
LN02807,0.00,5.89,CLOSED
LN02808,0.00,5.52,CLOSED
LN02811,119788.12,14.63,CURRENT
LN02812,28445.80,13.88,DELINQUENT
LN02813,0.00,11.62,CLOSED
LN02819,252347.99,7.55,DELINQUENT
LN02822,273520.54,4.10,CURRENT
LN02824,27260.58,9.72,CURRENT
LN02826,88391.53,4.13,DELINQUENT
LN02828,141071.22,13.91,CURRENT
LN02831,86940.70,12.57,CURRENT
LN02832,0.00,7.91,CLOSED
LN02834,99359.57,11.83,DELINQUENT
LN02835,0.00,10.53,CLOSED
LN02838,226680.68,7.00,DELINQUENT
LN02840,56379.26,6.65,DELINQUENT
LN02842,0.00,8.80,CLOSED
LN02843,270940.70,4.62,CURRENT
LN02844,111204.28,5.99,CURRENT
LN02846,368628.61,4.27,CURRENT
LN02850,36566.00,10.44,CURRENT
LN02853,0.00,5.62,CLOSED
LN02854,89560.61,5.08,DELINQUENT
LN02859,0.00,10.87,CLOSED
LN02860,95305.52,11.25,DELINQUENT
LN02861,79135.05,11.17,CURRENT
LN02867,373424.83,13.58,DELINQUENT
LN02869,0.00,11.55,CLOSED
LN02870,88971.39,14.64,DELINQUENT
LN02871,48814.38,14.80,CURRENT
LN02873,0.00,6.92,CLOSED
LN02874,155629.34,11.87,DELINQUENT
LN02878,326612.84,6.87,DELINQUENT
LN02879,0.00,12.67,CLOSED
LN02880,0.00,9.92,CLOSED
LN02881,0.00,7.49,CLOSED
LN02882,0.00,5.17,CLOSED
LN02885,37144.38,11.85,CURRENT
LN02886,83183.43,4.29,CURRENT
LN02893,0.00,4.64,CLOSED
LN02896,0.00,4.61,CLOSED
LN02898,120861.92,7.39,DELINQUENT
LN02900,0.00,7.76,CLOSED
LN02905,0.00,7.07,CLOSED
LN02906,185649.61,5.01,DELINQUENT
LN02910,0.00,9.76,CLOSED
LN02914,0.00,13.38,CLOSED
LN02918,153853.49,13.46,DELINQUENT
LN02920,396487.89,13.74,CURRENT
LN02930,0.00,8.84,CLOSED
LN02931,160619.18,9.24,DELINQUENT
LN02932,222005.89,6.20,CURRENT
LN02941,370728.91,8.31,CURRENT
LN02944,191911.17,7.00,DELINQUENT
LN02949,130716.39,9.78,DELINQUENT
LN02951,0.00,11.21,CLOSED
LN02952,157309.07,6.07,CURRENT
LN02956,0.00,12.19,CLOSED
LN02960,407665.29,5.45,DELINQUENT
LN02961,0.00,5.62,CLOSED
LN02964,94697.03,6.76,DELINQUENT
LN02970,0.00,9.27,CLOSED
LN02971,0.00,6.16,CLOSED
LN02972,161670.07,8.61,CURRENT
LN02974,0.00,7.01,CLOSED
LN02975,124612.60,14.17,CURRENT
LN02976,195367.57,7.96,DELINQUENT
LN02984,0.00,7.03,CLOSED
LN02986,188736.98,6.10,DELINQUENT
LN02989,183443.57,5.30,DELINQUENT
LN02990,151220.29,10.17,CURRENT
LN02994,86397.80,11.46,CURRENT
LN00139,133602.89,5.72,CURRENT
LN00218,276242.66,8.60,DELINQUENT
LN01681,174583.31,13.98,CURRENT
LN00189,77777.00,5.01,CLOSED
LN01044,77777.00,13.73,CLOSED
LN00081,277189.68,4.07,CURRENT
LN02954,194986.44,11.12,CURRENT
LN00822,213250.32,10.13,DELINQUENT
LN00621,77777.00,7.57,CLOSED
LN01042,77777.00,12.31,CLOSED
LN02146,331903.56,7.15,CURRENT
LN00292,143630.31,14.77,CURRENT
LN01884,361307.43,8.44,CURRENT
LN02116,187500.91,8.05,DELINQUENT
LN00782,216920.25,4.84,DELINQUENT
LN00268,129551.05,14.95,DELINQUENT
LN02699,349684.08,4.75,CURRENT
LN00530,288984.96,9.20,CURRENT
LN01830,140406.33,8.22,CURRENT
LN00439,150804.92,7.85,CURRENT
LN02925,122315.00,8.57,DELINQUENT
LN02499,144588.04,14.27,DELINQUENT
LN02833,77777.00,10.03,CLOSED
